Artikelnr;Benamning;Fabrikat;Tillverk.art.nr.;Pris;PrismMoms;EAN;Bild;LagerSaldo;LevTid
ii;Tele2 KOMPIS 75:- OBS:MOMSFRI VARA;001058;ii;ii;7330596001093;http://images.order.se/COMVIQ.JPG;Enligt Skatteverkets regler säljs nu påfyllnadskontantkort<br>som en momsfri vara. Vi säljer den till dess nominella värde<br>till er som ÅF (75:- utan ingående moms) och ni som ÅF<br>säljer till slutkund utan utgående moms (dvs. 75:-<br>momsfritt). ÅF erhåller i stället en provision som blir er<br>marginal/TB.;;ii;ii
ii;Tele2 Amigos 100:- OBS:MOMSFRI VARA;001059;ii;ii;7330596001116;http://images.order.se/COMVIQ.JPG;Enligt Skatteverkets regler säljs nu påfyllnadskontantkort<br>som en momsfri vara. Vi säljer den till dess nominella värde<br>till er som ÅF (100:- utan ingående moms) och ni som ÅF<br>säljer till slutkund utan utgående moms (dvs. 100:-<br>momsfritt). ÅF erhåller i stället en provision som blir er<br>marginal/TB.;;ii;ii
ii;Nokia 3110 Classic Black;0026347;ii;ii;6417182713200;http://images.order.se/0026347.JPG;Viktiga egenskaper<br>Ta bilder med 1,3-megapixelkameran med 8x digital zoom<br>Anslut trådlöst till dator eller tillbehör via Bluetooth<br>Koppla av med MP3-spelaren och stereoradion<br>Få tillgång till nyheter och underhållning via strömmande<br>media<br>Håll dig anträffbar med upp till fyra timmars taltid och upp<br>till 370 timmars passningstid<br>Trippelband: EGSM 900 och GSM 1800/1900<br>Volym: 72 cm3<br><span name="expandDescText" id="expandDescText" style="display: none">Vikt: 87 g<br>Mått: 108,5 x 45,7 x 15,6 mm<br>Aktiv TFT-display med upp till 262 000 färger (128 x 160<br>pixlar)<br>Användargränssnitt<br>Utökat Series 40-gränssnitt<br>Stor och lättläst display<br>Tydliga knappar för enkel hantering av meddelanden och<br>telefonsamtal<br>Inställningsbar högerknapp och Gå till-meny<br>Bilder<br>1,3-megapixelkamera med 8x digital zoom<br>Sökare i fullskärmsläge<br>Video<br>Meddelanden<br>SMS, MMS och e-post<br>Snabbmeddelanden och kontakter med närvarostatus<br>E-postklient med stöd för bilagor (Java-versionen)<br>Ljudmeddelanden med Nokia Xpress   skicka röstmeddelanden<br>och ljudklipp via MMS<br>Minne<br>Kombinationsminne med 32 MB flash och 16 MB RAM<br>9 MB användarminne<br>Plats för minneskort på upp till 2 GB (microSD)<br>Anslutning<br>Bluetooth<br>IR<br>USB<br>XHTML<br>Innehåll i produktförpackningen<br>Nokia 3110 Classic<br>Batteri BL-5C<br>Headset HS-40<br>Laddare AC-3<br>Användarhandbok;;ii;ii
ii;Nokia 3109 Grey;0028041;ii;ii;6417182735196;http://images.order.se/0028041.JPG;;;ii;ii
ii;Nokia 1650 Black;0028678;ii;ii;6417182742439;http://images.order.se/0028678.JPG;<b>Rustad för alla mobila vardagsbestyr</b>;;ii;ii
ii;Nokia 6120 Classic Black;0029239;ii;ii;6417182748998;http://images.order.se/0029239.JPG;Surfa på Internet och ladda ned musik och video i hög<br>hastighet med 3G- eller HSDPA-teknik*.<br>Förenkla din vardag genom att skicka och ta emot e-post<br>med bilagor.<br>Videofilma det som händer omkring dig.<br>Fotografera med blixt och ta panoramabilder med<br>2-megapixelkameran.<br>Bli mer delaktig genom att ringa videosamtal.<br>Spara musik, videoklipp och bilder i minnet som kan utökas<br>till 2 GB.<br><span name="expandDescText" id="expandDescText" style="display: none">Strukturera upp tillvaron med den praktiska kalendern och<br>datorsynkroniseringen.<br>Koppla av till tonerna av din favoritmusik ur musikspelaren.<br>Beundra den klassiska designen och de sofistikerade<br>kromdetaljerna.;;ii;ii
ii;Nokia 1650 Dark Red;0029559;ii;ii;6417182752230;http://images.order.se/0029559.JPG;<b>Rustad för alla mobila vardagsbestyr</b>;;ii;ii
ii;Nokia 1208 Red;002B0N6;ii;ii;6417182763755;http://images.order.se/002B0N6.JPG;<b>Enkelhet Främst !</b>;;ii;ii
ii;Nokia 2760 Red;002B191;ii;ii;6417182765957;http://images.order.se/002B191.JPG;<b>Modern och elegant design</b>;;ii;ii
ii;Nokia 1208 Black;002B1H6;ii;ii;6417182767036;http://images.order.se/002B1H6.JPG;<b>Enkelhet Främst !</b>;;ii;ii
